Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00   215707     0.00     0.00  __gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >::operator*() const
  0.00      0.84     0.00   215076     0.00     0.00  BLL::ZyklotronParts::ZykSet const& std::forward<BLL::ZyklotronParts::ZykSet const&>(std::remove_reference<BLL::ZyklotronParts::ZykSet const&>::type&)
  0.00      0.84     0.00   213967     0.00     0.00  void std::_Construct<BLL::Point, BLL::Point const&>(BLL::Point*, BLL::Point const&)
  0.00      0.84     0.00   210994     0.00     0.00  boost::unique_lock<boost::mutex>::owns_lock() const
  0.00      0.84     0.00   205919     0.00     0.00  BLL::Point::getY()
  0.00      0.84     0.00   144538     0.00     0.00  boost::pthread::pthread_mutex_scoped_lock::~pthread_mutex_scoped_lock()
  0.00      0.84     0.00   136823     0.00     0.00  boost::pthread::pthread_mutex_scoped_lock::unlock()
  0.00      0.84     0.00   135957     0.00     0.00  boost::pthread::pthread_mutex_scoped_lock::pthread_mutex_scoped_lock(pthread_mutex_t*)
  0.00      0.84     0.00   129367     0.00     0.00  std::_List_iterator<BLL::ZyklotronParts::ZykSet>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.84     0.00   127062     0.00     0.00  void std::_Destroy<BLL::Point>(BLL::Point*)
  0.00      0.84     0.00   122154     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::operator[](unsigned long)
  0.00      0.84     0.00   118578     0.00     0.00  boost::unique_lock<boost::mutex>::~unique_lock()
  0.00      0.84     0.00   116270     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::_M_range_check(unsigned long) const
  0.00      0.84     0.00   113073     0.00     0.00  std::__cxx11::_List_base<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_get_Node_allocator()
  0.00      0.84     0.00   112612     0.00     0.00  BLL::ZyklotronParts::ZykSet::ZykSet(BLL::ZyklotronParts::ZykSet const&)
  0.00      0.84     0.00   107870     0.00     0.00  BLL::Point::getX()
  0.00      0.84     0.00   103795     0.00     0.00  BLL::Window::render()
  0.00      0.84     0.00   101455     0.00     0.00  boost::unique_lock<boost::mutex>::lock()
  0.00      0.84     0.00   101188     0.00     0.00  __gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > >::operator*() const
  0.00      0.84     0.00   100035     0.00     0.00  BLL::ZyklotronParts::ZykSet::operator=(BLL::ZyklotronParts::ZykSet const&)
  0.00      0.84     0.00    98624     0.00     0.00  __gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > >::base() const
  0.00      0.84     0.00    96158     0.00     0.00  boost::unique_lock<boost::mutex>::unique_lock(boost::mutex&)
  0.00      0.84     0.00    82204     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<BLL::ZyklotronParts::ZykSet> >::destroy<std::_List_node<BLL::ZyklotronParts::ZykSet> >(std::_List_node<BLL::ZyklotronParts::ZykSet>*)
  0.00      0.84     0.00    77555     0.00     0.00  std::__cxx11::list<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::begin()
  0.00      0.84     0.00    72644     0.00     0.00  BLL::ZyklotronParts::ZykSet::ZykSet(BLL::ZyklotronParts::ZykSet&&)
  0.00      0.84     0.00    61254     0.00     0.00  std::__cxx11::_List_base<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_put_node(std::_List_node<BLL::ZyklotronParts::ZykSet>*)
  0.00      0.84     0.00    58265     0.00     0.00  std::__cxx11::list<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::push_back(BLL::ZyklotronParts::ZykSet const&)
  0.00      0.84     0.00    58256     0.00     0.00  void std::__cxx11::list<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_insert<BLL::ZyklotronParts::ZykSet const&>(std::_List_iterator<BLL::ZyklotronParts::ZykSet>, BLL::ZyklotronParts::ZykSet const&)
  0.00      0.84     0.00    54806     0.00     0.00  std::_List_node<BLL::ZyklotronParts::ZykSet>::~_List_node()
  0.00      0.84     0.00    54088     0.00     0.00  sf::Vector2<float>::Vector2(float, float)
  0.00      0.84     0.00    53774     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<BLL::ZyklotronParts::ZykSet> >::construct<std::_List_node<BLL::ZyklotronParts::ZykSet>, BLL::ZyklotronParts::ZykSet const&>(std::_List_node<BLL::ZyklotronParts::ZykSet>*, BLL::ZyklotronParts::ZykSet const&)
  0.00      0.84     0.00    52381     0.00     0.00  __gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > >::operator++()
  0.00      0.84     0.00    52057     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<BLL::StdGraphController::max()::{lambda(BLL::Point, BLL::Point)#1}>::operator()<__gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, std::vector<BLL::Point, std::allocator<BLL::Point> > >(__gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > >, std::vector<BLL::Point, std::allocator<BLL::Point> >)
  0.00      0.84     0.00    51704     0.00     0.00  std::__cxx11::_List_base<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_inc_size(unsigned long)
  0.00      0.84     0.00    50369     0.00     0.00  BLL::Double::operator<(BLL::Double)
  0.00      0.84     0.00    48459     0.00     0.00  BLL::StdGraphController::max()::{lambda(BLL::Point, BLL::Point)#1}::operator()(BLL::Point, BLL::Point) const
  0.00      0.84     0.00    48053     0.00     0.00  BLL::Channel<BLL::ZyklotronParts::ZykSet>::read()
  0.00      0.84     0.00    47871     0.00     0.00  bool __gnu_cxx::operator!=<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > >(__gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > > const&, __gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > > const&)
  0.00      0.84     0.00    47238     0.00     0.00  std::__cxx11::_List_base<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_dec_size(unsigned long)
  0.00      0.84     0.00    45417     0.00     0.00  std::__cxx11::list<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_erase(std::_List_iterator<BLL::ZyklotronParts::ZykSet>)
  0.00      0.84     0.00    44988     0.00     0.00  std::_List_node<BLL::ZyklotronParts::ZykSet>::_List_node<BLL::ZyklotronParts::ZykSet const&>(BLL::ZyklotronParts::ZykSet const&)
  0.00      0.84     0.00    44851     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<BLL::ZyklotronParts::ZykSet> >::max_size() const
  0.00      0.84     0.00    43424     0.00     0.00  std::__cxx11::_List_base<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_get_node()
  0.00      0.84     0.00    43263     0.00     0.00  std::_List_node<BLL::ZyklotronParts::ZykSet>* std::__cxx11::list<BLL::ZyklotronParts::ZykSet, std::allocator<BLL::ZyklotronParts::ZykSet> >::_M_create_node<BLL::ZyklotronParts::ZykSet const&>(BLL::ZyklotronParts::ZykSet const&)
  0.00      0.84     0.00    43029     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<BLL::ZyklotronParts::ZykSet> >::deallocate(std::_List_node<BLL::ZyklotronParts::ZykSet>*, unsigned long)
  0.00      0.84     0.00    42808     0.00     0.00  std::_List_iterator<BLL::ZyklotronParts::ZykSet>::operator*() const
  0.00      0.84     0.00    42506     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<BLL::ZyklotronParts::ZykSet> >::allocate(unsigned long, void const*)
  0.00      0.84     0.00    40573     0.00     0.00  BLL::Double::operator==(BLL::Double)
  0.00      0.84     0.00    31482     0.00     0.00  std::move_iterator<BLL::Point*>::base() const
  0.00      0.84     0.00    22187     0.00     0.00  std::move_iterator<BLL::Point*>::operator++()
  0.00      0.84     0.00    20255     0.00     0.00  bool std::operator!=<BLL::Point*>(std::move_iterator<BLL::Point*> const&, std::move_iterator<BLL::Point*> const&)
  0.00      0.84     0.00    16925     0.00     0.00  std::move_iterator<BLL::Point*>::operator*() const
  0.00      0.84     0.00    15232     0.00     0.00  boost::lock_guard<boost::mutex>::~lock_guard()
  0.00      0.84     0.00    15105     0.00     0.00  void std::_Construct<BLL::Point, BLL::Point>(BLL::Point*, BLL::Point&&)
  0.00      0.84     0.00    14881     0.00     0.00  boost::lock_guard<boost::mutex>::lock_guard(boost::mutex&)
  0.00      0.84     0.00    14865     0.00     0.00  BLL::Point&& std::forward<BLL::Point>(std::remove_reference<BLL::Point>::type&)
  0.00      0.84     0.00    13553     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::push_back(BLL::Point const&)
  0.00      0.84     0.00    13470     0.00     0.00  bool std::operator==<BLL::Point*>(std::move_iterator<BLL::Point*> const&, std::move_iterator<BLL::Point*> const&)
  0.00      0.84     0.00     9180     0.00     0.00  boost::thread_cv_detail::lock_on_exit<boost::unique_lock<boost::mutex> >::lock_on_exit()
  0.00      0.84     0.00     7627     0.00     0.00  boost::detail::interruption_checker::~interruption_checker()
  0.00      0.84     0.00     7251     0.00     0.00  void std::_Construct<BLL::Point>(BLL::Point*)
  0.00      0.84     0.00     7161     0.00     0.00  boost::unique_lock<boost::mutex>::unlock()
  0.00      0.84     0.00     6705     0.00     0.00  boost::thread_cv_detail::lock_on_exit<boost::unique_lock<boost::mutex> >::~lock_on_exit()
  0.00      0.84     0.00     6695     0.00     0.00  boost::thread_cv_detail::lock_on_exit<boost::unique_lock<boost::mutex> >::activate(boost::unique_lock<boost::mutex>&)
  0.00      0.84     0.00     6594     0.00     0.00  boost::detail::interruption_checker::check_for_interruption()
  0.00      0.84     0.00     6558     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIN3BLL5PointEE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.00      0.84     0.00     6084     0.00     0.00  boost::condition_variable::wait(boost::unique_lock<boost::mutex>&)
  0.00      0.84     0.00     6066     0.00     0.00  BLL::Point::Point()
  0.00      0.84     0.00     5896     0.00     0.00  boost::detail::interruption_checker::interruption_checker(pthread_mutex_t*, pthread_cond_t*)
  0.00      0.84     0.00     5179     0.00     0.00  void std::allocator_traits<std::allocator<BLL::Point> >::construct<BLL::Point, BLL::Point const&>(std::allocator<BLL::Point>&, BLL::Point*, BLL::Point const&)
  0.00      0.84     0.00     4182     0.00     0.00  BLL::Point::operator=(BLL::Point const&)
  0.00      0.84     0.00     2378     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_data() const
  0.00      0.84     0.00     1857     0.00     0.00  std::remove_reference<BLL::Point*&>::type&& std::move<BLL::Point*&>(BLL::Point*&)
  0.00      0.84     0.00     1566     0.00     0.00  sf::Drawable::~Drawable()
  0.00      0.84     0.00     1524     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.84     0.00     1417     0.00     0.00  sf::String::~String()
  0.00      0.84     0.00     1390     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_Alloc_hider::~_Alloc_hider()
  0.00      0.84     0.00     1343     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::~basic_string()
  0.00      0.84     0.00     1309     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.84     0.00     1271     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      0.84     0.00     1266     0.00     0.00  std::pointer_traits<unsigned int const*>::pointer_to(unsigned int const&)
  0.00      0.84     0.00     1263     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_is_local() const
  0.00      0.84     0.00     1262     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      0.84     0.00     1260     0.00     0.00  unsigned int const* std::addressof<unsigned int const>(unsigned int const&)
  0.00      0.84     0.00     1256     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_dispose()
  0.00      0.84     0.00     1244     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_local_data() const
  0.00      0.84     0.00     1241     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_get_allocator()
  0.00      0.84     0.00     1236     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_destroy(unsigned long)
  0.00      0.84     0.00     1225     0.00     0.00  unsigned int const* std::__addressof<unsigned int const>(unsigned int const&)
  0.00      0.84     0.00      988     0.00     0.00  std::allocator<sf::Vertex>::~allocator()
  0.00      0.84     0.00      971     0.00     0.01  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::~vector()
  0.00      0.84     0.00      944     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl::~_Vector_impl()
  0.00      0.84     0.00      924     0.00     0.00  __gnu_cxx::new_allocator<sf::Vertex>::~new_allocator()
  0.00      0.84     0.00      918     0.00     0.01  sf::VertexArray::~VertexArray()
  0.00      0.84     0.00      892     0.00     0.01  void std::_Destroy<sf::Vertex*, sf::Vertex>(sf::Vertex*, sf::Vertex*, std::allocator<sf::Vertex>&)
