Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00        3     0.00     0.00  void std::_Destroy<BLL::Zyklotron**>(BLL::Zyklotron**, BLL::Zyklotron**)
  0.00      0.84     0.00        3     0.00     0.00  void std::_Destroy<BLL::Zyklotron**, BLL::Zyklotron*>(BLL::Zyklotron**, BLL::Zyklotron**, std::allocator<BLL::Zyklotron*>&)
  0.00      0.84     0.00        3     0.00     0.00  void std::_Destroy<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*>(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*)
  0.00      0.84     0.00        3     0.00     0.00  void std::_Destroy<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&)
  0.00      0.84     0.00        3     0.00     0.00  void std::_Destroy<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*)
  0.00      0.84     0.00        3     0.00     0.00  bool std::operator==<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*>(std::move_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*> const&, std::move_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*> const&)
  0.00      0.84     0.00        3     0.00     0.00  bool std::operator!=<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*>(std::move_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*> const&, std::move_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*> const&)
  0.00      0.84     0.00        2     0.00     0.00  BLL::ZyklotronController::addZyklotron(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >)
  0.00      0.84     0.00        2     0.00     0.00  BLL::Channel<BLL::ZyklotronParts::ZykSet>::Channel()
  0.00      0.84     0.00        2     0.00     0.00  BLL::Zyklotron::run()
  0.00      0.84     0.00        2     0.00     0.00  BLL::Zyklotron::configure(BLL::Double, BLL::Double, BLL::Double, BLL::Double, BLL::Double, BLL::Double, BLL::Double, float)
  0.00      0.84     0.00        2     0.00     0.00  BLL::Zyklotron::configure(BLL::Double, BLL::Double, BLL::Double, BLL::Double, BLL::Double, BLL::Double, BLL::Double, float, bool)
  0.00      0.84     0.00        2     0.00     0.00  BLL::Zyklotron::Zyklotron()
  0.00      0.84     0.00        2     0.00     0.00  boost::shared_ptr<boost::detail::thread_data_base>::shared_ptr<boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >(boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >*)
  0.00      0.84     0.00        2     0.00     0.00  boost::shared_ptr<boost::detail::thread_data_base>::shared_ptr<boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}> >(boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>*)
  0.00      0.84     0.00        2     0.00     0.00  boost::thread_detail::decay<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >::type boost::thread_detail::decay_copy<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >(boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > >&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::thread_detail::decay<BLL::Zyklotron::run()::{lambda()#1}>::type boost::thread_detail::decay_copy<BLL::Zyklotron::run()::{lambda()#1}>(boost::thread_detail::decay&&)
  0.00      0.84     0.00        2     0.00     0.00  void boost::checked_delete<boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >(boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >*)
  0.00      0.84     0.00        2     0.00     0.00  boost::exception_detail::clone_base::~clone_base()
  0.00      0.84     0.00        2     0.00     0.00  boost::exception_detail::refcount_ptr<boost::exception_detail::error_info_container>::release()
  0.00      0.84     0.00        2     0.00     0.00  boost::exception_detail::refcount_ptr<boost::exception_detail::error_info_container>::~refcount_ptr()
  0.00      0.84     0.00        2     0.00     0.00  boost::_bi::list0::list0()
  0.00      0.84     0.00        2     0.00     0.00  boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> >::list1(boost::_bi::value<BLL::Zyklotron*>)
  0.00      0.84     0.00        2     0.00   275.38  void boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> >::operator()<boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list0>(boost::_bi::type<void>, boost::_mfi::mf0<void, BLL::Zyklotron>&, boost::_bi::list0&, int)
  0.00      0.84     0.00        2     0.00     0.00  boost::_bi::value<BLL::Zyklotron*>::get()
  0.00      0.84     0.00        2     0.00     0.00  boost::_bi::value<BLL::Zyklotron*>::value(BLL::Zyklotron* const&)
  0.00      0.84     0.00        2     0.00     0.00  boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > >::bind_t(boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > const&)
  0.00      0.84     0.00        2     0.00   275.38  boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > >::operator()()
  0.00      0.84     0.00        2     0.00     0.00  boost::_bi::storage1<boost::_bi::value<BLL::Zyklotron*> >::storage1(boost::_bi::value<BLL::Zyklotron*>)
  0.00      0.84     0.00        2     0.00     0.00  boost::_mfi::mf0<void, BLL::Zyklotron>::mf0(void (BLL::Zyklotron::*)())
  0.00      0.84     0.00        2     0.00     0.00  boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list_av_1<BLL::Zyklotron*>::type> boost::bind<void, BLL::Zyklotron, BLL::Zyklotron*>(void (BLL::Zyklotron::*)(), BLL::Zyklotron*)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >::thread_data(boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > >&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>::thread_data({lambda()#1}&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::shared_count::shared_count<boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >(boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >*)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::shared_count::shared_count<boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}> >(boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>*)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::sp_counted_impl_p<boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >::sp_counted_impl_p(boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >*)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::sp_counted_impl_p<boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >::~sp_counted_impl_p()
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::sp_counted_impl_p<boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >::~sp_counted_impl_p()
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::sp_counted_impl_p<boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}> >::sp_counted_impl_p(BLL::Zyklotron::run()::{lambda()#1}*)
  0.00      0.84     0.00        2     0.00     0.00  void boost::detail::sp_pointer_construct<boost::detail::thread_data_base, boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >(boost::shared_ptr<boost::detail::thread_data_base>*, boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >*, boost::detail::shared_count&)
  0.00      0.84     0.00        2     0.00     0.00  void boost::detail::sp_pointer_construct<boost::detail::thread_data_base, boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}> >(boost::shared_ptr<boost::detail::thread_data_base>*, boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>*, boost::detail::shared_count&)
  0.00      0.84     0.00        2     0.00     0.00  void boost::detail::sp_enable_shared_from_this<boost::detail::thread_data_base, boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >, boost::detail::thread_data_base>(boost::shared_ptr<boost::detail::thread_data_base> const*, boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > const*, boost::enable_shared_from_this<boost::detail::thread_data_base> const*)
  0.00      0.84     0.00        2     0.00     0.00  void boost::detail::sp_enable_shared_from_this<boost::detail::thread_data_base, boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>, boost::detail::thread_data_base>(boost::shared_ptr<boost::detail::thread_data_base> const*, boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}> const*, boost::enable_shared_from_this<boost::detail::thread_data_base> const*)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >* boost::detail::heap_new<boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >, boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >(boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > >&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>* boost::detail::heap_new<boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>, {lambda()#1}>({lambda()#1}&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::shared_ptr<boost::detail::thread_data_base> boost::thread::make_thread_info<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >(boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > >&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::shared_ptr<boost::detail::thread_data_base> boost::thread::make_thread_info<BLL::Zyklotron::run()::{lambda()#1}>(BLL::Zyklotron::run()::{lambda()#1}&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::thread::thread<BLL::Zyklotron::run()::{lambda()#1}>(BLL::Zyklotron::run()::{lambda()#1}&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::thread::thread<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >(boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > >&&)
  0.00      0.84     0.00        2     0.00     0.00  boost::exception::~exception()
  0.00      0.84     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<BLL::Zyklotron*>::deallocate(BLL::Zyklotron**, unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<BLL::Zyklotron*>::allocate(unsigned long, void const*)
  0.00      0.84     0.00        2     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIPN3BLL9ZyklotronEE9constructIS3_IRKS3_EEEvPT_DpOT0_
  0.00      0.84     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<BLL::ZyklotronParts::ZykSet> >::new_allocator()
  0.00      0.84     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::deallocate(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::allocate(unsigned long, void const*)
  0.00      0.84     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::construct<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&>(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      0.84     0.00        2     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00      0.84     0.00        2     0.00     0.00  void boost::enable_shared_from_this<boost::detail::thread_data_base>::_internal_accept_owner<boost::detail::thread_data_base, boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > > >(boost::shared_ptr<boost::detail::thread_data_base> const*, boost::detail::thread_data<boost::_bi::bind_t<void, boost::_mfi::mf0<void, BLL::Zyklotron>, boost::_bi::list1<boost::_bi::value<BLL::Zyklotron*> > > >*) const
  0.00      0.84     0.00        2     0.00     0.00  void boost::enable_shared_from_this<boost::detail::thread_data_base>::_internal_accept_owner<boost::detail::thread_data_base, boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}> >(boost::shared_ptr<boost::detail::thread_data_base> const*, boost::detail::thread_data<BLL::Zyklotron::run()::{lambda()#1}>*) const
  0.00      0.84     0.00        2     0.00     0.00  std::vector<BLL::Zyklotron*, std::allocator<BLL::Zyklotron*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.84     0.00        2     0.00     0.00  std::vector<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::_M_check_len(unsigned long, char const*) const
  0.00      0.84     0.00        2     0.00     0.00  std::allocator<std::_List_node<BLL::ZyklotronParts::ZykSet> >::allocator()
  0.00      0.84     0.00        2     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, true>::_S_base(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >)
  0.00      0.84     0.00        2     0.00     0.00  std::_List_node<unsigned long>::_List_node<>()
  0.00      0.84     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.84     0.00        2     0.00     0.00  BLL::Zyklotron** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<BLL::Zyklotron*>(BLL::Zyklotron* const*, BLL::Zyklotron* const*, BLL::Zyklotron**)
  0.00      0.84     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >)
  0.00      0.84     0.00        2     0.00     0.00  std::_Vector_base<BLL::Zyklotron*, std::allocator<BLL::Zyklotron*> >::_M_allocate(unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  std::_Vector_base<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::_M_allocate(unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<BLL::Zyklotron*> >::deallocate(std::allocator<BLL::Zyklotron*>&, BLL::Zyklotron**, unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<BLL::Zyklotron*> >::allocate(std::allocator<BLL::Zyklotron*>&, unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  _ZNSt16allocator_traitsISaIPN3BLL9ZyklotronEEE9constructIS2_IRKS2_EEEvRS3_PT_DpOT0_
  0.00      0.84     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::deallocate(std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::allocate(std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&, unsigned long)
  0.00      0.84     0.00        2     0.00     0.00  _ZNSt16allocator_traitsISaISt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS6_EEEE9constructIS8_IRKS8_EEEvRS9_PT_DpOT0_
  0.00      0.84     0.00        2     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*>, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*>(std::move_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*>, std::move_iterator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*>, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*)
  0.00      0.84     0.00        2     0.00     0.00  BLL::Zyklotron** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<BLL::Zyklotron**>, BLL::Zyklotron**>(std::move_iterator<BLL::Zyklotron**>, std::move_iterator<BLL::Zyklotron**>, BLL::Zyklotron**)
  0.00      0.84     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >(unsigned long, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >)
  0.00      0.84     0.00        2     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::end()
  0.00      0.84     0.00        2     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::begin()
  0.00      0.84     0.00        2     0.00     0.00  void std::vector<BLL::Zyklotron*, std::allocator<BLL::Zyklotron*> >::_M_emplace_back_aux<BLL::Zyklotron* const&>(BLL::Zyklotron* const&)
